userName,score,at,content,sentiment_label,sentiment_score,binary_sentiment,direct_binary_sentiment_label,direct_binary_sentiment_score
Abah Sukir,5,2026-04-29 09:59:18,ikut sensus ekonomi 2023 asyik,Happy,0.6139746904373169,Positive,neutral,0.9946020841598511
Irus Rusmini,1,2026-03-23 07:58:54,saya sdh jadi mitra bps . tapi data saya di hp lama .setelah saya download di play store aplikasi sobat bps ko ga bisa ya .adanya allstats bps .buka sobat bps .knp sulit ya,Fear,0.5261679291725159,Negative,negative,0.906862199306488
Lency Letik,5,2026-03-11 03:56:19,Sangat bagus,Happy,0.9762938618659973,Positive,positive,0.9947777986526489
saad abdillah,5,2026-01-28 16:28:14,terimakasih atas informasinya,Happy,0.9705132246017456,Positive,neutral,0.9019896984100342
Mantri Urban,1,2026-01-16 12:04:13,bad,Fear,0.36984017491340637,Negative,neutral,0.9496662616729736
Candra Pranata,1,2025-12-19 04:43:48,GK berguna,Happy,0.5039218664169312,Positive,neutral,0.5742130279541016
Ria Fitri,5,2025-11-05 09:02:18,terimakasih bps sudah mengajarkan saya banyak hal,Happy,0.9212633967399597,Positive,positive,0.9553242921829224
Jefri Paul Natara,5,2025-09-23 08:33:13,Mohon info aplikasi MFD Online,Happy,0.43268096446990967,Positive,neutral,0.9979047775268555
Heriyansyah,4,2025-09-18 09:11:38,"tolong tampilkan data statistik makan gizi gratis MBG , untuk peta sebaran nya suadah sampai mana?",Happy,0.7407786250114441,Positive,neutral,0.9887696504592896
Agus Samad,5,2025-08-10 01:58:41,aneh data yg di ambil kok gak singkron sama kenyataan,Anger,0.5571683645248413,Negative,negative,0.998207688331604
Bang Mul Ganteng,2,2025-08-08 10:39:31,"Aplikasinya nggak bisa di buka, loding saja..",Fear,0.5824626088142395,Negative,negative,0.9647225737571716
Encu Supriatna,5,2025-07-01 13:31:08,terima kasih,Happy,0.9696319699287415,Positive,positive,0.6136747598648071
Delta M Cahyadi,5,2025-06-18 00:26:26,Mantap,Happy,0.8788559436798096,Positive,positive,0.9892808794975281
Feza Raffa A,4,2025-06-12 10:20:11,"hmm belum bisa digunain nih, fiturnya kebanyakan error",Sadness,0.5657010674476624,Negative,negative,0.9948510527610779
Shakila Zaiyang,1,2025-06-03 08:20:18,"tidak bisa membuka data statistik, mohon di perbarui segera untuk mudah di akses. di web juga engga bisa membuat data statistik nya dan tabelnya.",Fear,0.8026850819587708,Negative,negative,0.8671994209289551
