userName,score,at,content,sentiment_label,sentiment_score
Abah Sukir,5,2026-04-29 09:59:18,ikut sensus ekonomi 2023 asyik,Happy,0.6139746904373169
Irus Rusmini,1,2026-03-23 07:58:54,saya sdh jadi mitra bps . tapi data saya di hp lama .setelah saya download di play store aplikasi sobat bps ko ga bisa ya .adanya allstats bps .buka sobat bps .knp sulit ya,Fear,0.5261679291725159
Lency Letik,5,2026-03-11 03:56:19,Sangat bagus,Happy,0.9762938618659973
saad abdillah,5,2026-01-28 16:28:14,terimakasih atas informasinya,Happy,0.9705132246017456
Mantri Urban,1,2026-01-16 12:04:13,bad,Fear,0.36984017491340637
Candra Pranata,1,2025-12-19 04:43:48,GK berguna,Happy,0.5039218664169312
Ria Fitri,5,2025-11-05 09:02:18,terimakasih bps sudah mengajarkan saya banyak hal,Happy,0.9212633967399597
Jefri Paul Natara,5,2025-09-23 08:33:13,Mohon info aplikasi MFD Online,Happy,0.43268096446990967
Heriyansyah,4,2025-09-18 09:11:38,"tolong tampilkan data statistik makan gizi gratis MBG , untuk peta sebaran nya suadah sampai mana?",Happy,0.7407786250114441
Agus Samad,5,2025-08-10 01:58:41,aneh data yg di ambil kok gak singkron sama kenyataan,Anger,0.5571683645248413
Bang Mul Ganteng,2,2025-08-08 10:39:31,"Aplikasinya nggak bisa di buka, loding saja..",Fear,0.5824626088142395
Encu Supriatna,5,2025-07-01 13:31:08,terima kasih,Happy,0.9696319699287415
Delta M Cahyadi,5,2025-06-18 00:26:26,Mantap,Happy,0.8788559436798096
Feza Raffa A,4,2025-06-12 10:20:11,"hmm belum bisa digunain nih, fiturnya kebanyakan error",Sadness,0.5657010674476624
Shakila Zaiyang,1,2025-06-03 08:20:18,"tidak bisa membuka data statistik, mohon di perbarui segera untuk mudah di akses. di web juga engga bisa membuat data statistik nya dan tabelnya.",Fear,0.8026850819587708
Kurnia Zebua,1,2025-05-11 22:07:44,"1.publikasi tidak bisa didownload, 2. tiap topik,gagal loading melulu pas dibuka",Sadness,0.5446279048919678
soffi wahyudi,1,2025-04-21 13:20:49,aplikasinya banyak ngeblanknya mungkin kebanyakan di korupsi,Anger,0.48768800497055054
Garenk Osburne,2,2025-03-23 21:40:39,"publikasi tidak dapat di unduh, terdapat error setiap kali unduh, tolong di perbaiki",Fear,0.7255702614784241
Qisthi M,1,2025-03-16 04:38:46,Publikasi tidak bisa didownload baik di websitenya pun juga error,Sadness,0.48179832100868225
nadiroh izatun,1,2025-03-05 00:16:00,"kok loading terus ya menghubungkan ke jaringan terus padahal jaringan stabil, kuota juga masih banyak",Fear,0.4650267958641052
Teguh Tafirehan,1,2025-01-31 14:50:31,Tabel tidak bisa dibuka,Fear,0.5171069502830505
Redi Panzer,5,2025-01-23 07:05:41,Ok,Anger,0.4297524392604828
daryanto warjono,4,2024-11-27 05:47:54,apakah ini aplikasi yang digunakan untuk mitra bps/sobat bps.,Fear,0.6010914444923401
Sadpril Dwi Kustaya,5,2024-11-26 01:38:38,Sangat bagus untuk kemudahan pencarian data,Happy,0.9815512895584106
Bustanil Arifin,5,2024-11-21 07:05:55,⭐️⭐️⭐️⭐️⭐️,Happy,0.6861377954483032
